"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","1","2","1","2"
"1",1e-06,12983.1208704703,3192.97335851444,9790.14751195593,8595.2403674544,3769.16627738293,4826.07409007147,21578.3612379247,6962.13963589737,14616.2216020274,0.781000500000003,0.2189995,0.781000000000003,0.219,4.99999999948544e-07,5.00000000051456e-07
"2",0.001,12983.8039770792,3193.65646512338,9790.14751195593,8597.65099146239,3771.57690139092,4826.07409007147,21581.4549685416,6965.2333665143,14616.2216020274,0.7815,0.2185,0.781,0.219,0.000499999999999976,0.000500000000000024
"3",0.01,12989.9276890512,3197.06021597535,9792.86747307597,8609.71617668611,3783.64208661589,4826.07409007021,21599.6438657373,6980.70230259124,14618.9415631462,0.783999999999957,0.216000000000043,0.778999999999957,0.221000000000043,0.00499999999999998,0.00500000000000002
"4",0.025,12999.9713780219,3201.08245862232,9798.88891939964,8624.19439895771,3798.12030888624,4826.07409007147,21624.1657769796,6999.20276750856,14624.9630094711,0.786999999999985,0.213000000000014,0.774499999999988,0.225500000000015,0.0125000000000001,0.0124999999999999
"5",0.04,13009.8450394383,3206.34603614866,9803.49900328973,8643.49869531596,3817.42460524625,4826.07409006971,21653.3437347543,7023.77064139491,14629.5730933594,0.790999999999927,0.209000000000073,0.770999999999927,0.229000000000073,0.0199999999999999,0.0200000000000001
"6",0.055,13019.5925721338,3210.24182557073,9809.35074656316,8657.97691758821,3831.90282751674,4826.07409007147,21677.5694897221,7042.14465308748,14635.4248366346,0.793999999999985,0.206000000000015,0.766499999999985,0.233500000000014,0.0274999999999999,0.0275000000000001
"7",0.07,13029.2347286941,3211.52441844351,9817.7103102506,8662.802991675,3836.72890160568,4826.07409006933,21692.0377203691,7048.25332004919,14643.7844003199,0.794999999999748,0.205000000000251,0.759999999999749,0.240000000000251,0.0349999999999999,0.0350000000000002
"8",0.085,13038.5709997084,3217.75293871253,9820.81806099593,8686.93336212864,3860.85927205717,4826.07409007147,21725.5043618371,7078.6122107697,14646.8921510674,0.799999999999985,0.200000000000015,0.757499999999984,0.242500000000014,0.0425000000000002,0.0424999999999998
"9",0.1,13047.7209979145,3220.19040517356,9827.53059274099,8696.58551030318,3870.51142023577,4826.07409006741,21744.3065082177,7090.70182540933,14653.6046828084,0.801999999999663,0.198000000000337,0.751999999999663,0.248000000000335,0.0500000000000001,0.0499999999999999
"10",0.15,13077.2217666595,3230.81429041034,9846.4074762492,8740.02017711943,3913.94608704796,4826.07409007147,21817.241943779,7144.7603774583,14672.4815663207,0.810999999999999,0.189000000000001,0.735999999999998,0.264000000000001,0.0750000000000001,0.0749999999999999
"11",0.235,13123.3158455995,3250.00417246288,9873.31167313661,8826.88951074071,4000.81542066925,4826.07409007147,21950.2053563402,7250.81959313213,14699.3857632081,0.829,0.171,0.711500000000003,0.2885,0.1175,0.1175
"12",0.32,13164.7810736149,3267.60364777518,9897.1774258397,8913.75884435725,4087.68475429062,4826.07409006663,22078.5399179721,7355.2884020658,14723.2515159063,0.846999999999999,0.153000000000001,0.687000000000006,0.313,0.16,0.16
"13",0.405,13201.0343005087,3281.67261920021,9919.36168130847,8993.38906684817,4167.31497677671,4826.07409007147,22194.4233673569,7448.98759597692,14745.4357713799,0.863499999999998,0.136500000000001,0.661000000000006,0.339000000000002,0.2025,0.2025
"14",0.49,13232.9557888144,3293.30658229199,9939.64920652235,9068.19321524429,4242.11912517282,4826.07409007147,22301.1490040586,7535.42570746481,14765.7232965938,0.878999999999998,0.121000000000001,0.633999999999997,0.366000000000002,0.245,0.245
"15",0.575,13259.6616351943,3306.08310328402,9953.57853191027,9167.12773409074,4341.05364401928,4826.07409007147,22426.7893692851,7647.1367473033,14779.6526219817,0.899499999999997,0.100500000000002,0.611999999999997,0.388,0.2875,0.2875
"16",0.66,13280.5809701728,3314.66679706622,9965.91417310656,9251.584030667,4425.50994059554,4826.07409007147,22532.1650008398,7740.17673766175,14791.988263178,0.916999999999999,0.083,0.586999999999998,0.413000000000001,0.33,0.33
"17",0.745,13296.1263173737,3322.06761662012,9974.05870075364,9348.10551246843,4522.03142239696,4826.07409007147,22644.2318298422,7844.09903901708,14800.1327908251,0.936999999999999,0.0630000000000001,0.564499999999999,0.435500000000001,0.372500000000001,0.372500000000001
"18",0.83,13307.4646961584,3326.7743446436,9980.69035151482,9434.97484608972,4608.90075601825,4826.07409007147,22742.4395422481,7935.67510066185,14806.7644415863,0.955,0.045,0.539999999999997,0.460000000000001,0.415000000000002,0.415000000000001
"19",0.915,13314.150683348,3330.57483627977,9983.57584706828,9553.21366129647,4727.139571225,4826.07409007147,22867.3643446445,8057.71440750477,14809.6499371397,0.979499999999999,0.0205000000000003,0.521999999999998,0.478000000000001,0.457500000000003,0.457500000000001
"20",1,13315.5562102972,3331.35584765635,9984.20036264084,9652.14818014293,4826.07409007147,4826.07409007147,22967.7043904401,8157.42993772782,14810.2744527123,1,0,0.506999999999997,0.493000000000001,0.493000000000003,0.493000000000002
