"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","7","1","2","3","4","5","6","7","1","2","3","4","5","6","7"
"1",1e-06,13214.1846333146,3011.58453147394,10202.6001018407,8431.1538483919,3605.07975832044,4826.07409007147,21645.3384817065,6616.66428979438,15028.6741919121,0.427000500000001,0.304,0.016,0,0.252999499999999,0,0,0.427000000000001,0.304,0.016,0,0.252999999999999,0,0,4.99999999988001e-07,0,0,0,4.99999999922332e-07,0,0
"2",0.001,13214.9680290068,3012.36792716609,10202.6001018407,8433.56447239989,3607.49038232843,4826.07409007147,21648.5325014067,6619.85830949452,15028.6741919121,0.427500000000001,0.304,0.016,0,0.252499999999999,0,0,0.427000000000001,0.304,0.016,0,0.252999999999999,0,0,0.000499999999999951,0,0,0,0.000499999999999936,0,0
"3",0.01,13222.014441777,3016.48457467619,10205.5298671007,8440.80358353499,3614.72949346353,4826.07409007147,21662.818025312,6631.21406813971,15031.6039571722,0.430000000000001,0.305,0.014,0,0.250999999999999,0,0,0.425000000000001,0.304999999999999,0.014,0,0.255999999999999,0,0,0.00500000000000004,0,0,0,0.00500000000000012,0,0
"4",0.025,13233.658547236,3021.25590333227,10212.4026439038,8445.62965762507,3619.5555675536,4826.07409007147,21679.2882048611,6640.81147088586,15038.4767339752,0.432999999999997,0.306500000000004,0.0104999999999956,0,0.250000000000003,0,0,0.420499999999997,0.306500000000004,0.0104999999999956,0,0.262500000000003,0,0,0.0125,0,0,0,0.0125,0,0
"5",0.04,13245.2074859907,3025.79277459437,10219.4147113964,8455.28180580513,3629.20771573374,4826.07409007139,21700.4892917959,6655.00049032812,15045.4888014677,0.436,0.307,0.00900000000000304,0,0.247999999999997,0,0,0.416,0.306999999999999,0.00900000000000311,0,0.267999999999997,0,0,0.0199999999999999,0,0,0,0.0200000000000002,0,0
"6",0.055,13256.6719282776,3032.51851936991,10224.1534089076,8467.34699103041,3641.27290095894,4826.07409007147,21724.018919308,6673.79142032885,15050.2274989791,0.440500000000001,0.308,0.00599999999999998,0,0.245499999999998,0,0,0.413000000000001,0.308,0.00599999999999998,0,0.272999999999999,0,0,0.0275,0,0,0,0.0275,0,0
"7",0.07,13268.0612575718,3038.58360458086,10229.4776529909,8479.41217625138,3653.33808618144,4826.07409006994,21747.4734338232,6691.9216907623,15055.5517430608,0.445999999999877,0.30600000000013,0.00499999999975426,0,0.243000000000238,0,0,0.410999999999877,0.306000000000131,0.00499999999975426,0,0.278000000000238,0,0,0.0350000000000001,0,0,0,0.0350000000000001,0,0
"8",0.085,13279.3483576399,3045.81019883724,10233.5381588026,8484.23825034564,3658.16416027417,4826.07409007147,21763.5866079856,6703.97435911141,15059.6122488741,0.451999999999999,0.306,0,0,0.242,0,0,0.4095,0.305999999999999,0,0,0.2845,0,0,0.0424999999999999,0,0,0,0.0425000000000001,0,0
"9",0.1,13290.5041447878,3053.25002320618,10237.2541215816,8508.36862079599,3682.29453072453,4826.07409007147,21798.8727655838,6735.5445539307,15063.3282116531,0.456999999999997,0.306,0,0,0.237000000000002,0,0,0.406999999999998,0.306,0,0,0.287000000000002,0,0,0.0500000000000001,0,0,0,0.05,0,0
"10",0.15,13326.8166811277,3067.42995664464,10259.386724483,8537.32506533481,3711.25097526464,4826.07409007017,21864.1417464625,6778.68093190928,15085.4608145532,0.472999999999951,0.296000000000046,0,0,0.231000000000005,0,0,0.397999999999952,0.296000000000047,0,0,0.306000000000005,0,0,0.0750000000000002,0,0,0,0.075,0,0
"11",0.235,13385.9039666353,3093.80086745819,10292.1030991771,8609.7161766875,3783.64208661603,4826.07409007147,21995.6201433228,6877.44295407422,15118.1771892485,0.498,0.285999999999999,0,0,0.216000000000001,0,0,0.3805,0.285999999999999,0,0,0.333500000000001,0,0,0.1175,0,0,0,0.1175,0,0
"12",0.32,13441.8333094946,3113.27429590198,10328.5590135925,8657.97691758811,3831.90282751674,4826.07409007137,22099.8102270827,6945.17712341873,15154.6331036638,0.520000000000001,0.273999999999999,0,0.0280000000000025,0.177999999999998,0,0,0.36,0.273999999999999,0,0.0280000000000025,0.337999999999998,0,0,0.16,0,0,0,0.16,0,0
"13",0.405,13494.5661237728,3132.9544564282,10361.6116673445,8711.063732579,3884.98964250753,4826.07409007147,22205.6298563518,7017.94409893574,15187.685757416,0.543,0.262,0,0.059500000000002,0.135499999999998,0,0,0.3405,0.262,0,0.0595000000000019,0.337999999999998,0,0,0.2025,0,0,0,0.2025,0,0
"14",0.49,13543.6748065466,3148.73584858842,10394.9389579581,8740.02017711897,3913.94608704798,4826.07409007099,22283.6949836655,7062.6819356364,15221.0130480291,0.567000000000003,0.244,0,0.095999999999998,0.0929999999999981,0,0,0.322000000000004,0.244,0,0.0959999999999981,0.337999999999998,0,0,0.245,0,0,0,0.245,0,0
