"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","1","2","1","2"
"1",1e-06,15580.5136204423,3840.63575648499,11739.8778639574,10303.6681823026,4512.37927421682,5791.28890808576,25884.1818027449,8353.01503070181,17531.1667720432,0.779166666666667,0.220833333333334,0.779166166666666,0.220833833333334,4.99999999903693e-07,5.00000000096307e-07
"2",0.001,15581.3520746321,3840.63575648499,11740.7163181471,10303.6681823026,4512.37927421682,5791.28890808576,25885.0202569346,8353.01503070181,17532.0052262329,0.779166666666667,0.220833333333333,0.778666666666667,0.221333333333333,0.000500000000000021,0.000499999999999979
"3",0.01,15588.8670229761,3843.41592282044,11745.4511001557,10313.3203304827,4522.03142239696,5791.28890808576,25902.1873534589,8365.44734521741,17536.7400082415,0.780833333333331,0.219166666666666,0.775833333333327,0.224166666666668,0.00499999999999998,0.00500000000000002
"4",0.025,15601.2547383854,3850.29667086682,11750.9580675186,10337.4507009331,4546.16179284732,5791.28890808576,25938.7054393185,8396.45846371414,17542.2469756044,0.784999999999997,0.214999999999999,0.772499999999994,0.227500000000001,0.0125,0.0125
"5",0.04,15613.4326005875,3855.70655161655,11757.726048971,10356.7549972934,4565.46608920761,5791.28890808576,25970.1875978809,8421.17264082416,17549.0149570568,0.788333333333331,0.211666666666666,0.768333333333328,0.231666666666668,0.02,0.02
"6",0.055,15625.4144111754,3861.02926977622,11764.3851413992,10376.0592936537,4584.77038556789,5791.28890808576,26001.473704829,8445.79965534411,17555.6740494849,0.791666666666664,0.208333333333333,0.764166666666661,0.235833333333334,0.0275,0.0275
"7",0.07,15637.2067300611,3864.97155375898,11772.2351763021,10390.5375159239,4599.24860783811,5791.28890808576,26027.744245985,8464.22016159709,17563.5240843879,0.794166666666664,0.205833333333333,0.759166666666661,0.240833333333334,0.035,0.035
"8",0.085,15648.8705260242,3868.86734318099,11780.0031828432,10405.0157381941,4613.72683010832,5791.28890808576,26053.8862642183,8482.59417328931,17571.292090929,0.796666666666664,0.203333333333333,0.754166666666661,0.245833333333335,0.0425,0.0425
"9",0.1,15660.321171735,3873.94549357302,11786.375678162,10424.3200345544,4633.03112646861,5791.28890808576,26084.6412062894,8506.97662004163,17577.6645862478,0.799999999999997,0.2,0.749999999999995,0.250000000000001,0.05,0.05
"10",0.15,15696.7749803164,3889.7718862512,11807.0030940652,10487.0589977253,4695.77008963954,5791.28890808576,26183.8339780417,8585.54197589074,17598.2920021509,0.810833333333331,0.189166666666667,0.735833333333328,0.264166666666668,0.075,0.075
"11",0.235,15754.1431099634,3911.10456129662,11843.0385486668,10578.7544054233,4787.46549735058,5791.28890807277,26332.8975153868,8698.5700586472,17634.3274567395,0.826666666666627,0.17333333333337,0.709166666666624,0.290833333333371,0.1175,0.1175
"12",0.32,15805.1787802774,3937.2278982552,11867.9508820221,10704.2323317784,4912.94342369266,5791.28890808576,26509.4111120558,8850.17132194787,17659.2397901079,0.848333333333333,0.151666666666667,0.688333333333333,0.311666666666667,0.16,0.16
"13",0.405,15848.9706332316,3956.264686239,11892.7059469926,10810.4059617593,5019.11705367413,5791.28890808519,26659.3765949909,8975.38173991313,17683.9948550778,0.86666666666665,0.13333333333335,0.66416666666665,0.33583333333335,0.2025,0.2025
"14",0.49,15886.8358818814,3969.67556262039,11917.1603192609,10897.2752953814,5105.98638729561,5791.28890808576,26784.1111772627,9075.66194991601,17708.4492273467,0.881666666666666,0.118333333333333,0.636666666666665,0.363333333333332,0.245,0.245
"15",0.575,15918.6061843771,3985.74232102325,11932.8638633537,11022.7532217177,5231.46431363725,5791.28890808046,26941.3594060948,9217.20663466051,17724.1527714342,0.903333333333313,0.0966666666666855,0.615833333333312,0.384166666666685,0.2875,0.2875
"16",0.66,15944.0571320805,3994.24350704726,11949.8136250332,11104.7964812544,5313.50757316868,5791.28890808576,27048.853613335,9307.75108021595,17741.1025331189,0.9175,0.0824999999999992,0.587499999999998,0.412499999999998,0.33,0.33
"17",0.745,15963.4790549564,4003.86555141127,11959.613503545,11225.4483334986,5434.15942542036,5791.28890807827,27188.927388455,9438.02497683163,17750.9024116233,0.938333333333333,0.0616666666666668,0.56583333333333,0.434166666666669,0.3725,0.3725
"18",0.83,15977.9283100926,4009.29810840888,11968.6302016836,11317.1437412176,5525.85483313183,5791.28890808576,27295.0720513102,9535.15294154071,17759.9191097694,0.954166666666665,0.0458333333333333,0.539166666666663,0.460833333333332,0.414999999999999,0.414999999999999
"19",0.915,15986.203198875,4014.17037215718,11972.0328267177,11461.9259639197,5670.63705583397,5791.28890808576,27448.1291627948,9684.80742799115,17763.3217348035,0.979166666666666,0.0208333333333333,0.521666666666663,0.478333333333331,0.457499999999998,0.457499999999998
"20",1,15988.0202182474,4015.15502620444,11972.8651920428,11582.5778161715,5791.28890808576,5791.28890808576,27570.5980344189,9806.4439342902,17764.1541001286,1,0,0.50583333333333,0.494166666666664,0.494166666666664,0.494166666666664
