"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","1","2","3","4","1","2","3","4"
"1",1e-06,15798.3267778588,3582.5613235665,12215.7654542924,10120.2802625243,4328.99135443856,5791.28890808576,25918.6070403831,7911.55267800506,18007.0543623782,0.575833833333332,0.171666666666667,0.252499499999999,0,0.575833333333332,0.171666666666666,0.252499999999999,0,5.0000000022004e-07,0,4.99999999779961e-07,0
"2",0.001,15799.2782139166,3583.51275962431,12215.7654542924,10123.1730113339,4331.88410324815,5791.28890808576,25922.4512252505,7915.39686287246,18007.0543623782,0.576333333333333,0.171666666666667,0.251999999999999,0,0.575833333333332,0.171666666666667,0.252499999999999,0,0.000499999999999851,0,0.000499999999999826,0
"3",0.01,15807.8342626484,3588.48903151265,12219.3452311358,10134.7555891501,4343.46668106432,5791.28890808576,25942.5898517984,7931.95571257697,18010.6341392216,0.579166666666667,0.170833333333333,0.249999999999999,0,0.574166666666667,0.170833333333333,0.254999999999999,0,0.00499999999999998,0,0.005,0
"4",0.025,15822.0187100357,3593.5835456306,12228.4351644052,10139.5816632402,4348.29275515439,5791.28890808576,25961.6003732758,7941.87630078499,18019.7240724909,0.582500000000001,0.168333333333333,0.249166666666666,0,0.570000000000001,0.168333333333333,0.261666666666666,0,0.0125000000000001,0,0.0124999999999999,0
"5",0.04,15836.0938513527,3598.65838373996,12237.4354676127,10144.40773733,4353.11882924439,5791.28890808565,25980.5015886827,7951.77721298435,18028.7243756984,0.585833333333329,0.165833333333332,0.248333333333339,0,0.565833333333329,0.165833333333332,0.268333333333339,0,0.02,0,0.02,0
"6",0.055,15850.058113313,3606.81426867277,12243.2438446403,10158.8859595997,4367.5970515145,5791.28890808521,26008.9440729128,7974.41132018727,18034.5327527255,0.590833333333325,0.163333333333322,0.245833333333352,0,0.563333333333326,0.163333333333322,0.273333333333353,0,0.0275000000000001,0,0.0275,0
"7",0.07,15863.9097779413,3613.75376478747,12250.1560131538,10173.364181869,4382.07527378464,5791.28890808435,26037.2739598103,7995.82903857211,18041.4449212382,0.594999999999959,0.161666666666669,0.243333333333373,0,0.559999999999958,0.161666666666669,0.278333333333373,0,0.035,0,0.0350000000000001,0
"8",0.085,15877.6580887849,3621.43822827948,12256.2198605054,10183.0163300508,4391.72742196501,5791.28890808576,26060.6744188357,8013.16565024449,18047.5087685912,0.599999999999999,0.158333333333332,0.241666666666668,0,0.557499999999999,0.158333333333332,0.284166666666667,0,0.0425,0,0.0425,0
"9",0.1,15891.2968818398,3631.74591466251,12259.5509671773,10197.494552321,4406.20564423525,5791.28890808576,26088.7914341608,8037.95155889776,18050.839875263,0.606666666666666,0.154166666666667,0.239166666666667,0,0.556666666666666,0.154166666666667,0.289166666666667,0,0.05,0,0.05,0
"10",0.15,15935.7407227131,3651.92596582974,12283.8147568832,10240.9292191317,4449.64031104591,5791.28890808575,26176.6699418448,8101.56627687565,18075.103664969,0.61916666666667,0.149166666666667,0.231666666666663,0,0.54416666666667,0.149166666666667,0.306666666666663,0,0.075,0,0.075,0
"11",0.235,16007.7233535614,3699.75833144686,12307.9650221144,10327.7985527487,4536.50964466641,5791.28890808227,26335.5219063101,8236.26797611327,18099.2539301967,0.65083333333363,0.132499999999718,0.216666666666653,0,0.533333333333627,0.132499999999717,0.334166666666653,0,0.1175,0,0.1175,0
"12",0.32,16075.606907248,3738.3292802124,12337.2776270354,10405.0157381937,4613.72683010835,5791.28890808536,26480.6226454417,8352.05611032075,18128.5665351208,0.677500000000002,0.119166666666667,0.203333333333328,0,0.517500000000006,0.119166666666668,0.363333333333328,0,0.16,0,0.16,0
"13",0.405,16138.9068518362,3776.46516212222,12362.4416897137,10472.5807754551,4681.29186736932,5791.28890808576,26611.4876272913,8457.75702949154,18153.7305977995,0.705833333333335,0.1025,0.191666666666663,0,0.503333333333335,0.1025,0.394166666666663,0,0.2025,0,0.2025,0
"14",0.49,16197.9271797224,3809.69701118181,12388.2301685403,10530.4936645352,4739.20475644969,5791.28890808551,26728.4208442576,8548.9017676315,18179.5190766258,0.731666666666686,0.0866666666666492,0.181666666666663,0,0.486666666666686,0.0866666666666496,0.426666666666663,0,0.245,0,0.245,0
"15",0.575,16252.7733756376,3833.72707352183,12419.0463021155,10607.7108499769,4816.42194189114,5791.28890808576,26860.4842256145,8650.14901541297,18210.3352102013,0.750833333333337,0.0808333333333333,0.168333333333329,0,0.463333333333336,0.0808333333333336,0.455833333333329,0,0.2875,0,0.2875,0
