"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"1",1e-06,15836.9032865601,3604.00919134942,12232.8940952108,10178.1902559607,4386.90134787496,5791.28890808576,26015.0935425208,7990.91053922438,18024.1830032965,0.505833833333333,0.25166616666667,0,0.2425,0,0.505833333333333,0.251666166666671,0,0.242500499999997,0,4.99999999968534e-07,0,0,4.99999996932849e-07,0
"2",0.001,15837.8164340921,3604.53357257562,12233.2828615166,10178.1902559607,4386.90134787496,5791.28890808576,26016.0066900528,7991.43492045058,18024.5717696023,0.506333333333333,0.25116666666667,0,0.2425,0,0.505833333333333,0.25116666666667,0,0.242999999999997,0,0.000499999999999989,0,0,0.000499999999996954,0
"3",0.01,15846.0207324552,3611.18694856776,12234.8337838875,10192.6684782305,4401.37957014518,5791.28890808531,26038.6892106857,8012.56651871294,18026.1226919729,0.510833333333331,0.249166666666672,0,0.240000000000001,0,0.505833333333331,0.249166666666672,0,0.245000000000001,0,0.00500000000000009,0,0,0.005,0
"4",0.025,15859.5787445925,3617.68318634327,12241.8955582493,10202.3206264046,4411.03171832486,5791.28890807972,26061.8993709971,8028.71490466813,18033.184466329,0.51583333333329,0.2458333333334,-2.64716902197304e-14,0.238333333333337,0,0.503333333333289,0.2458333333334,-2.64697397641192e-14,0.250833333333337,0,0.0125,0,0,0.0125000000000001,0
"5",0.04,15872.9450846646,3627.71905332298,12245.2260313417,10226.4509968614,4435.16208877568,5791.28890808576,26099.3960815261,8062.88114209866,18036.5149394275,0.522500000000001,0.243333333333336,0.00166666666666329,0.2325,0,0.502500000000001,0.243333333333336,0.00166666666666329,0.2525,0,0.0199999999999998,0,0,0.0200000000000002,0
"6",0.055,15886.1681360184,3632.88483620511,12253.2832998133,10226.4509968614,4435.16208877568,5791.28890808576,26112.6191328798,8068.04692498079,18044.5722078991,0.527500000000001,0.238333333333333,0.00916666666666661,0.225,0,0.500000000000001,0.238333333333333,0.00916666666666667,0.2525,0,0.0274999999999999,0,0,0.0275,0
"7",0.07,15899.2806060412,3640.67407182228,12258.606534219,10240.9292191317,4449.64031104589,5791.28890808576,26140.2098251729,8090.31438286817,18049.8954423047,0.533333333333334,0.235000000000003,0.0141666666666636,0.2175,0,0.498333333333334,0.235000000000003,0.0141666666666636,0.2525,0,0.035,0,0,0.0350000000000002,0
"8",0.085,15912.303438439,3643.22855125659,12269.0748871825,10240.9292191317,4449.64031104589,5791.28890808576,26153.2326575707,8092.86886230248,18060.3637952683,0.535833333333334,0.232500000000003,0.0216666666666666,0.209999999999997,0,0.493333333333334,0.232500000000003,0.0216666666666667,0.252499999999997,0,0.0424999999999999,0,0,0.0425,0
"9",0.1,15925.2192778002,3649.2269393324,12275.9923384679,10255.4074414017,4464.11853331611,5791.28890808556,26180.6267192019,8113.34547264851,18067.2812465534,0.54,0.230833333333334,0.0266666666666658,0.2025,0,0.49,0.230833333333333,0.0266666666666658,0.2525,0,0.0499999999999999,0,0,0.05,0
"10",0.15,15967.7226720057,3670.97791196755,12296.7447600382,10303.6681823026,4512.37927421682,5791.28890808576,26271.3908543083,8183.35718618437,18088.033668124,0.555833333333336,0.223333333333334,0.0433333333333333,0.177499999999997,0,0.480833333333336,0.223333333333334,0.0433333333333333,0.252499999999997,0,0.0749999999999999,0,0,0.0750000000000001,0
"11",0.235,16036.9652271744,3701.21186385788,12335.7533633165,10376.0592936535,4584.77038556787,5791.28890808568,26413.0245208279,8285.98224942575,18127.0422714021,0.578333333333326,0.213333333333341,0.0733333333333333,0.135,0,0.460833333333326,0.213333333333341,0.0733333333333333,0.2525,0,0.1175,0,0,0.1175,0
