"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"1",1e-06,15850.7928058932,3618.34885492346,12232.4439509697,10134.7555891501,4343.46668106432,5791.28890808576,25985.5483950433,7961.81553598778,18023.7328590554,0.457500500000003,0.292499499999995,0,0.154166666666669,0.0958333333333332,0,0.457500000000003,0.292499499999995,0,0.154167166666669,0.0958333333333332,0,5.00000000025654e-07,0,0,4.99999999966536e-07,0,0
"2",0.001,15851.740598473,3618.76002435788,12232.9805741151,10134.7555891501,4343.46668106432,5791.28890808576,25986.4961876231,7962.2267054222,18024.2694822009,0.458000000000003,0.291999999999995,0,0.154166666666669,0.0958333333333332,0,0.457500000000003,0.291999999999995,0,0.154666666666669,0.0958333333333332,0,0.000500000000000047,0,0,0.000500000000000012,0,0
"3",0.01,15860.2282548805,3621.08941004387,12239.1388448365,10134.7555891494,4343.46668106408,5791.28890808537,25994.9838440299,7964.55609110795,18030.4277529219,0.460833333333278,0.289166666666717,0,0.15416666666667,0.0958333333333332,0,0.455833333333279,0.289166666666717,0,0.15916666666667,0.0958333333333332,0,0.00499999999999999,0,0,0.00500000000000002,0,0
"4",0.025,15874.2873139207,3628.51052780487,12245.7767861158,10149.2338114203,4357.94490333455,5791.28890808576,26023.521125341,7986.45543113942,18037.0656942015,0.466666666666666,0.285833333333331,0,0.164166666666666,0.0833333333333317,0,0.454166666666669,0.285833333333331,0,0.164166666666666,0.0958333333333332,0,0.0124999999999999,0,0,0,0.0125000000000015,0
"5",0.04,15888.2197040945,3635.19394809248,12253.025756002,10163.7120336877,4372.42312560433,5791.28890808341,26051.9317377823,8007.61707369681,18044.3146640854,0.47166666666657,0.28333333333347,0,0.169166666666626,0.0758333333333312,0,0.45166666666657,0.283333333333471,0,0.169166666666626,0.0958333333333332,0,0.0199999999999999,0,0,0,0.020000000000002,0
"6",0.055,15902.0555510071,3641.15190949358,12260.9036415135,10178.1902559588,4386.90134787466,5791.2889080841,26080.2458069659,8028.05325736824,18052.1925495976,0.475833333333243,0.281666666666758,0,0.174166666666666,0.068333333333331,0,0.448333333333244,0.281666666666757,0,0.174166666666666,0.0958333333333332,0,0.0274999999999999,0,0,0,0.0275000000000023,0
"7",0.07,15915.7539280695,3647.05570701054,12268.698221059,10192.6684782309,4401.37957014517,5791.28890808568,26108.4224063004,8048.43527715571,18059.9871291446,0.479999999999995,0.280000000000005,0,0.179166666666666,0.0608333333333315,0,0.444999999999996,0.280000000000005,0,0.179166666666666,0.0958333333333332,0,0.0349999999999999,0,0,0,0.0350000000000017,0
"8",0.085,15929.3474019474,3650.58293632729,12278.7644656201,10197.494552321,4406.20564423527,5791.28890808576,26126.8419542684,8056.78858056256,18070.0533737058,0.483333333333333,0.2775,0,0.185833333333333,0.0533333333333317,0,0.440833333333333,0.2775,0,0.185833333333333,0.0958333333333332,0,0.0424999999999998,0,0,0,0.0425000000000015,0
"9",0.1,15942.8199041072,3656.2412478919,12286.5786562153,10207.1467004999,4415.85779241533,5791.28890808462,26149.9666046072,8072.09904030723,18077.8675642999,0.488333333333348,0.274166666666682,0,0.191666666666637,0.0458333333333313,0,0.438333333333348,0.274166666666682,0,0.191666666666637,0.0958333333333332,0,0.0499999999999999,0,0,0,0.0500000000000019,0
"10",0.15,15986.7200083712,3676.67736170586,12310.0426466652,10250.5813673118,4459.29245922605,5791.28890808576,26237.301375683,8135.9698209319,18101.3315547509,0.505000000000003,0.264999999999998,0,0.209166666666667,0.0208333333333322,0,0.430000000000002,0.264999999999998,0,0.209166666666666,0.0958333333333332,0,0.0749999999999998,0,0,0,0.0750000000000011,0
