"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","7","1","2","3","4","5","6","7","1","2","3","4","5","6","7"
"1",1e-06,15857.7657997711,3623.42194084298,12234.343858928,10129.9324107037,4338.64350261855,5791.28890808515,25987.6982104748,7962.06544346153,18025.6327670131,0.426667166666619,0.300833333333382,0.0216666666666667,0,0.250832833333333,0,0,0.426666666666618,0.300833333333382,0.0216666666666667,0,0.250833333333333,0,0,4.99999999933943e-07,0,0,0,4.99999999922095e-07,0,0
"2",0.001,15858.7142349039,3624.37037597574,12234.343858928,10132.8251595133,4341.53625142814,5791.28890808516,25991.5393944172,7965.90662740389,18025.6327670131,0.427166666666618,0.300833333333382,0.0216666666666667,0,0.250333333333333,0,0,0.42666666666662,0.300833333333381,0.0216666666666666,0,0.250833333333333,0,0,0.00050000000000001,0,0,0,0.000499999999999982,0,0
"3",0.01,15867.2202910906,3627.36473567718,12239.8555554132,10134.75558915,4343.46668106431,5791.28890808565,26001.9758802405,7970.83141674149,18031.1444634989,0.428333333333339,0.302499999999995,0.0191666666666676,0,0.249999999999999,0,0,0.423333333333339,0.302499999999995,0.0191666666666676,0,0.254999999999999,0,0,0.00499999999999993,0,0,0,0.00500000000000008,0,0
"4",0.025,15881.3008274308,3634.01252501235,12247.2883024183,10144.4077373292,4353.11882924409,5791.28890808507,26025.70856476,7987.13135425644,18038.5772105033,0.431666666666672,0.304166666666662,0.0158333333333349,0,0.248333333333331,0,0,0.419166666666672,0.304166666666662,0.0158333333333349,0,0.260833333333331,0,0,0.0125000000000001,0,0,0,0.0125000000000001,0,0
"5",0.04,15895.263927256,3643.88967842679,12251.3742488289,10158.8859595995,4367.59705151422,5791.28890808526,26054.1498868554,8011.486729941,18042.6631569142,0.437500000000016,0.304999999999983,0.0116666666666667,0,0.245833333333333,0,0,0.417500000000018,0.304999999999985,0.0116666666666667,0,0.265833333333333,0,0,0.0200000000000001,0,0,0,0.02,0,0
"6",0.055,15909.1366154763,3650.95326845357,12258.1833470226,10168.5381077804,4377.24919969476,5791.28890808566,26077.6747232568,8028.20246814833,18049.4722551082,0.443333333333333,0.302500000000002,0.00999999999999999,0,0.244166666666665,0,0,0.415833333333333,0.302500000000002,0.00999999999999999,0,0.271666666666665,0,0,0.0275,0,0,0,0.0275,0,0
"7",0.07,15922.8883983568,3658.42936462538,12264.4590337313,10183.0163300501,4391.72742196478,5791.28890808531,26105.9047284069,8050.15678659016,18055.7479418166,0.447500000000017,0.303333333333318,0.00750000000000344,0,0.241666666666663,0,0,0.412500000000016,0.303333333333317,0.00750000000000344,0,0.276666666666662,0,0,0.035,0,0,0,0.0350000000000001,0,0
"8",0.085,15936.536368395,3665.30480875528,12271.2315596395,10197.494552321,4406.20564423524,5791.28890808573,26134.030920716,8071.51045299051,18062.5204677252,0.450833333333332,0.305000000000005,0.005,0,0.239166666666663,0,0,0.408333333333331,0.305000000000005,0.005,0,0.281666666666664,0,0,0.0424999999999999,0,0,0,0.0425000000000002,0,0
"9",0.1,15950.0741120479,3671.36232161561,12278.7117904321,10202.3206264103,4411.03171832509,5791.28890808526,26152.3947384582,8082.3940399407,18070.0006985173,0.454999999999997,0.305000000000016,0.00166666666667137,0,0.238333333333311,0,0,0.404999999999997,0.305000000000015,0.00166666666667137,0,0.288333333333311,0,0,0.0499999999999999,0,0,0,0.0500000000000001,0,0
"10",0.15,15994.0712269969,3692.67681583515,12301.3944111616,10250.5813673087,4459.29245922502,5791.28890808363,26244.6525943056,8151.96927506017,18092.6833192452,0.471666666666622,0.298333333333387,0,0,0.229999999999991,0,0,0.396666666666622,0.298333333333386,0,0,0.304999999999991,0,0,0.0749999999999999,0,0,0,0.0750000000000001,0,0
