"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","1","2","3","1","2","3"
"1",1e-06,13062.2114758214,3091.06344116806,9971.14803465333,8291.1976997798,3465.12360970834,4826.07409007147,21353.4091756012,6556.1870508764,14797.2221247248,0.716000499999998,0.283999500000001,0,0.716000000000001,0.284000000000001,0,5.00000000015849e-07,5.00000000028244e-07,0
"2",0.001,13063.0889677085,3091.94093305519,9971.14803465333,8293.60832378779,3467.53423371633,4826.07409007147,21356.6972914963,6559.47516677152,14797.2221247248,0.716499999999998,0.283499999999999,0,0.716000000000001,0.284000000000001,0,0.000499999999999953,0.000499999999999964,0
"3",0.01,13070.9806718444,3099.83263719774,9971.14803464668,8305.67350900985,3479.59941894138,4826.07409006847,21376.6541808543,6579.43205613912,14797.2221247151,0.720999999999998,0.279,0,0.716000000000001,0.284000000000001,0,0.00499999999999996,0.00499999999999999,0
"4",0.025,13084.0732269295,3105.080328776,9978.99289815347,8320.15173128321,3494.07764121174,4826.07409007147,21404.2249582127,6599.15796998774,14805.0669882249,0.724000000000009,0.275999999999995,0,0.711500000000004,0.288499999999997,0,0.0125,0.0125,0
"5",0.04,13097.0280934601,3106.80634671115,9990.22174674895,8324.97780537173,3498.90371530181,4826.07409006992,21422.0058988318,6605.71006201296,14816.2958368189,0.725000000000002,0.274999999999996,0,0.705000000000005,0.294999999999997,0,0.0199999999999999,0.02,0
"6",0.055,13109.8918592855,3112.81598215404,9997.07587713145,8341.86906468851,3515.79497461704,4826.07409007147,21451.760923974,6628.61095677108,14823.1499672029,0.728500000000005,0.2715,0,0.701,0.299000000000001,0,0.0275,0.0275,0
"7",0.07,13122.6802663391,3117.08624461391,10005.5940217252,8353.93424991205,3527.86015984224,4826.0740900698,21476.6145162511,6644.94640445616,14831.668111795,0.731000000000002,0.268999999999996,0,0.696000000000005,0.303999999999994,0,0.0349999999999999,0.0349999999999999,0
"8",0.085,13135.3496413615,3117.08624461391,10018.2633967476,8353.93424991371,3527.86015984224,4826.07409007147,21489.2838912752,6644.94640445616,14844.3374868191,0.731000000000008,0.268999999999996,0,0.688500000000001,0.311499999999996,0,0.0424999999999999,0.0424999999999999,0
"9",0.1,13147.8930597882,3122.10269494558,10025.7903648427,8368.41247218391,3542.33838211245,4826.07409007146,21516.3055319721,6664.44107705803,14851.8644549141,0.733999999999999,0.265999999999997,0,0.684000000000003,0.315999999999999,0,0.05,0.05,0
"10",0.15,13188.8963205905,3128.71507517493,10060.1812454156,8387.71676854247,3561.64267847274,4826.07409006973,21576.6130891329,6690.35775364767,14886.2553354853,0.738000000000011,0.261999999999995,0,0.663000000000005,0.336999999999997,0,0.075,0.0749999999999999,0
"11",0.235,13256.2511992424,3147.76304350028,10108.4881557421,8445.62965762507,3619.5555675536,4826.07409007147,21701.8808568674,6767.31861105388,14934.5622458136,0.75000000000001,0.249999999999996,0,0.6325,0.367499999999996,0,0.1175,0.1175,0
"12",0.32,13320.1868261233,3168.86479692524,10151.3220291981,8513.19469488038,3687.12060481401,4826.07409006637,21833.3815210037,6855.98540173925,14977.3961192645,0.763999999999998,0.236,0,0.604000000000001,0.395999999999999,0,0.16,0.16,0
"13",0.405,13380.3077811099,3192.28637346148,10188.0214076485,8592.82491737221,3766.75082730075,4826.07409007147,21973.1326984821,6959.03720076223,15014.09549772,0.7805,0.2195,0,0.578,0.422,0,0.2025,0.2025,0
"14",0.49,13437.2466551852,3206.34603614793,10230.9006190373,8643.49869531303,3817.42460524553,4826.0740900675,22080.7453504982,7023.77064139346,15056.9747091048,0.790999999999896,0.209000000000103,0,0.545999999999896,0.454000000000103,0,0.245,0.245,0
"15",0.575,13490.5124705845,3223.81016416995,10266.7023064145,8711.063732579,3884.98964250753,4826.07409007147,22201.5762031635,7108.79980667748,15092.776396486,0.805000000000008,0.194999999999993,0,0.517500000000006,0.482499999999994,0,0.2875,0.2875,0
"16",0.66,13539.1529176397,3231.92686830442,10307.2260493353,8744.84625120607,3918.77216113795,4826.07409006812,22283.9991688458,7150.69902944237,15133.3001394034,0.81199999999999,0.188000000000011,0,0.48199999999999,0.518000000000011,0,0.33,0.33,0
"17",0.745,13584.3676597935,3249.48724344093,10334.8804163525,8824.47647369564,3998.40238362418,4826.07409007147,22408.8441334891,7247.8896270651,15160.9545064239,0.8285,0.1715,0,0.456,0.544,0,0.3725,0.3725,0
"18",0.83,13626.8095774804,3261.98266423578,10364.8269132446,8884.80239981999,4058.72830975008,4826.07409006991,22511.6119773004,7320.71097398586,15190.9010033145,0.841000000000001,0.159,0,0.426,0.574,0,0.415,0.415,0
"19",0.915,13665.8054602507,3271.22076007026,10394.5847001804,8933.06314072228,4106.98905065082,4826.07409007147,22598.868600973,7378.20981072108,15220.6587902519,0.851000000000001,0.149,0,0.3935,0.606499999999999,0,0.4575,0.4575,0
"20",1,13701.4810603179,3281.27027186737,10420.2107884505,8990.97602980314,4164.90193973168,4826.07409007147,22692.4570901211,7446.17221159904,15246.284878522,0.863000000000008,0.136999999999993,0,0.363000000000006,0.636999999999993,0,0.5,0.5,0
