"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"1",1e-06,13196.8208452676,2996.17142750257,10200.649417765,8489.06673747269,3662.99264740128,4826.0740900714,21685.8875827402,6659.16407490386,15026.7235078364,0.507000500000012,0.251999999999988,0,0.240999499999999,0,0.507000000000013,0.251999999999988,0,0.240999999999999,0,4.99999999864381e-07,0,0,5.0000000006026e-07,0
"2",0.001,13197.5653514397,2996.9159336747,10200.649417765,8491.47736148068,3665.40327140928,4826.0740900714,21689.0427129204,6662.31920508397,15026.7235078364,0.507500000000012,0.251999999999989,0,0.240499999999999,0,0.507000000000013,0.251999999999988,0,0.240999999999999,0,0.00049999999999986,0,0,0.00050000000000004,0
"3",0.01,13204.2567484885,3002.37697337463,10201.8797751139,8503.54254670593,3677.46845663446,4826.07409007147,21707.7992951944,6679.84543000909,15027.9538651854,0.512000000000001,0.249999999999999,0.00100000000000001,0.236999999999999,0,0.507000000000001,0.249999999999999,0.00100000000000001,0.241999999999999,0,0.00499999999999999,0,0,0.00500000000000001,0
"4",0.025,13215.3575997828,3006.46117001415,10208.8964297687,8508.368620796,3682.29453072453,4826.07409007147,21723.7262205788,6688.75570073868,15034.9705198401,0.516000000000003,0.246999999999999,0.00749999999999915,0.229499999999999,0,0.503500000000003,0.246999999999999,0.00749999999999912,0.241999999999999,0,0.0125000000000002,0,0,0.0125000000000003,0
"5",0.04,13226.366852311,3010.77354868303,10215.5933036279,8508.36862079581,3682.29453072452,4826.07409007129,21734.7354731068,6693.06807940755,15041.6673936992,0.521000000000001,0.242000000000001,0.0149999999999988,0.222,0,0.501000000000001,0.242000000000001,0.0149999999999988,0.241999999999999,0,0.0200000000000001,0,0,0.0200000000000002,0
"6",0.055,13237.2826790019,3016.85455814607,10220.4281208558,8522.84684306613,3696.77275299474,4826.07409007139,21760.129522068,6713.62731114081,15046.5022109272,0.526000000000003,0.239999999999999,0.0194999999999986,0.214499999999999,0,0.498500000000003,0.239999999999999,0.0194999999999986,0.241999999999999,0,0.0275,0,0,0.0275,0
"7",0.07,13248.1200371658,3020.26712933885,10227.852907827,8522.84684306609,3696.77275299475,4826.07409007134,21770.9668802319,6717.0398823336,15053.9269978984,0.530000000000001,0.236,0.0269999999999991,0.206999999999999,0,0.495000000000001,0.236,0.0269999999999992,0.241999999999999,0,0.035,0,0,0.035,0
"8",0.085,13258.8859895005,3024.70602908985,10234.1799604107,8534.9120282912,3708.83793821991,4826.07409007129,21793.7980177917,6733.54396730976,15060.254050482,0.533500000000001,0.235000000000001,0.031999999999999,0.199499999999999,0,0.491,0.235000000000001,0.031999999999999,0.241999999999999,0,0.0425,0,0,0.0425000000000001,0
"9",0.1,13269.6027192884,3029.97147943778,10239.6312398507,8546.97721351627,3720.90312344507,4826.0740900712,21816.5799328047,6750.87460288284,15065.7053299219,0.537999999999994,0.233000000000006,0.0370000000000001,0.191999999999999,0,0.487999999999994,0.233000000000006,0.037,0.241999999999999,0,0.0500000000000001,0,0,0.0500000000000003,0
"10",0.15,13304.7660936693,3046.28202092021,10258.4840727491,8585.58580623712,3759.51171616566,4826.07409007145,21890.3518999064,6805.79373708587,15084.5581628206,0.552000000000002,0.226999999999999,0.054,0.166999999999999,0,0.477000000000001,0.226999999999999,0.054,0.241999999999999,0,0.0750000000000002,0,0,0.0750000000000002,0
"11",0.235,13362.2006695077,3069.11255072559,10293.0881187821,8629.02047304778,3802.94638297632,4826.07409007147,21991.2211425555,6872.0589337019,15119.1622088536,0.574000000000003,0.213999999999999,0.0874999999999984,0.124499999999999,0,0.456500000000003,0.213999999999999,0.0874999999999986,0.241999999999999,0,0.1175,0,0,0.1175,0
"12",0.32,13417.0426858209,3090.61819583446,10326.4244899865,8667.62906576821,3841.55497569688,4826.07409007133,22084.6717515891,6932.17317153134,15152.4985800578,0.596000000000011,0.199999999999989,0.121999999999999,0.0819999999999993,0,0.436000000000013,0.19999999999999,0.121999999999999,0.241999999999999,0,0.16,0,0,0.16,0
"13",0.405,13468.9789343361,3113.997159842,10354.9817744942,8715.88980666907,3889.8157165976,4826.07409007147,22184.8687410052,7003.81287643961,15181.0558645657,0.620500000000001,0.185499999999998,0.154500000000001,0.0394999999999993,0,0.418000000000002,0.185499999999998,0.154500000000001,0.241999999999999,0,0.2025,0,0,0.2025,0
"14",0.49,13517.6083280325,3133.92060982934,10383.6877182032,8744.84625120813,3918.77216113788,4826.07409007025,22262.4545792407,7052.69277096722,15209.7618082735,0.644000000000062,0.167999999999936,0.187999999999997,0,0,0.399000000000067,0.167999999999938,0.190999999999999,0.241999999999998,0,0.245,0,0.00300000000000193,0.241999999999998,0
"15",0.575,13563.5441533647,3156.98703292503,10406.5571204397,8793.10699211021,3967.03290203874,4826.07409007147,22356.651145475,7124.01993496377,15232.6312105112,0.670999999999998,0.151,0.178000000000001,0,0,0.3835,0.151,0.223500000000001,0.241999999999999,0,0.2875,0,0.0455000000000007,0.241999999999999,0
"16",0.66,13606.7865491679,3180.33578212127,10426.4507670467,8870.32417755135,4044.25008747989,4826.07409007147,22477.1107267193,7224.58586960116,15252.5248571181,0.696999999999999,0.141,0.162,0,0,0.367000000000001,0.141,0.250000000000001,0.241999999999999,0,0.33,0,0.0880000000000005,0.241999999999999,0
"17",0.745,13647.0133612921,3199.61291705122,10447.4004442409,8918.58491845207,4092.5108283806,4826.07409007147,22565.5982797442,7292.12374543182,15273.4745343124,0.721499999999999,0.1265,0.152,0,0,0.349,0.1265,0.282500000000001,0.241999999999999,0,0.3725,0,0.130500000000001,0.241999999999999,0
"18",0.83,13684.4159503083,3215.13892195536,10469.2770283528,8952.36743708257,4126.2933470111,4826.07409007147,22636.7833873908,7341.43226896646,15295.3511184243,0.742999999999998,0.112,0.145000000000001,0,0,0.328,0.112000000000001,0.318000000000001,0.241999999999999,0,0.415,0,0.173000000000001,0.241999999999999,0
"19",0.915,13719.1758560724,3234.57240432567,10484.6034517468,9007.86728911839,4181.79319904692,4826.07409007147,22727.0431451908,7416.3656033726,15310.6775418182,0.770499999999997,0.0959999999999995,0.133500000000001,0,0,0.313000000000001,0.0959999999999999,0.349000000000001,0.241999999999999,0,0.4575,0,0.215500000000001,0.241999999999999,0
"20",1,13751.2387685803,3248.24082930543,10502.9979392749,9048.888918884,4222.81482881253,4826.07409007147,22800.1276874643,7471.05565811796,15329.0720293464,0.790999999999998,0.0840000000000003,0.125000000000001,0,0,0.291,0.0840000000000001,0.383000000000002,0.241999999999999,0,0.5,0,0.258000000000001,0.241999999999999,0
