"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"1",1e-06,13209.0596738413,3003.41341729809,10205.6462565432,8435.97992248196,3609.9058324105,4826.07409007147,21645.0395963233,6613.31924970858,15031.7203466147,0.456000499999999,0.292000000000001,0,0.154999500000001,0.0970000000000001,0,0.455999999999999,0.292000000000001,0,0.155,0.097,0,4.999999998694e-07,0,0,4.99999999542908e-07,0,0
"2",0.001,13209.8412590604,3004.19500251722,10205.6462565432,8438.39054648995,3612.31645641849,4826.07409007147,21648.2318055504,6616.51145893571,15031.7203466147,0.456499999999999,0.292000000000001,0,0.154500000000001,0.0970000000000001,0,0.455999999999999,0.292000000000001,0,0.155,0.097,0,0.000499999999999879,0,0,0.000499999999999459,0,0
"3",0.01,13216.8544079131,3007.04792299591,10209.8064849172,8440.80358353499,3614.72949346353,4826.07409007147,21657.6579914481,6621.77741645944,15035.8805749886,0.46,0.289000000000001,0,0.154,0.0970000000000001,0,0.454999999999999,0.288999999999999,0,0.159,0.097,0,0.00500000000000006,0,0,0.00499999999999997,0,0
"4",0.025,13228.4629928403,3011.86223534805,10216.6007574923,8450.45573171513,3624.38164164367,4826.07409007146,21678.9187245554,6636.24387699172,15042.6748475637,0.464499999999999,0.286500000000001,0,0.152,0.0970000000000001,0,0.451999999999999,0.286500000000001,0,0.1645,0.097,0,0.0124999999999999,0,0,0.0125,0,0
"5",0.04,13239.9772420021,3018.86114009386,10221.1161019083,8464.93395398472,3638.85986391383,4826.07409007089,21704.9111959868,6657.72100400768,15047.1901919792,0.470999999999925,0.283000000000095,0,0.168999999999982,0.0769999999999718,0,0.450999999999924,0.283000000000094,0,0.168999999999982,0.0970000000000001,0,0.0199999999999999,0,0,0,0.0200000000000283,0
"6",0.055,13251.4083957185,3021.82407943673,10229.5843162818,8472.17306512046,3646.09897504899,4826.07409007147,21723.581460839,6667.92305448572,15055.6584063533,0.4735,0.282,0,0.175000000000001,0.0695000000000001,0,0.445999999999999,0.281999999999999,0,0.175,0.097,0,0.0274999999999999,0,0,0,0.0275,0
"7",0.07,13262.7551128161,3024.77390096889,10237.9812118472,8479.41217625557,3653.3380861841,4826.07409007147,21742.1672890717,6678.11198715299,15064.0553019187,0.476,0.281,0,0.181000000000001,0.062,0,0.440999999999999,0.280999999999999,0,0.181000000000001,0.097,0,0.035,0,0,0,0.035,0
"8",0.085,13273.991298507,3029.44731315798,10244.5439853491,8489.06432443571,3662.99023436424,4826.07409007147,21763.0556229427,6692.43754752223,15070.6180754205,0.4805,0.278499999999997,0,0.186500000000004,0.0545,0,0.438,0.278499999999996,0,0.186500000000004,0.097,0,0.0424999999999999,0,0,0,0.0425,0
"9",0.1,13285.1266416121,3036.40171812263,10248.7249234895,8508.368620796,3682.29453072453,4826.07409007147,21793.4952624081,6718.69624884716,15074.799013561,0.486,0.277,0,0.190000000000001,0.0470000000000001,0,0.435999999999999,0.276999999999999,0,0.190000000000001,0.0970000000000001,0,0.0499999999999999,0,0,0,0.0499999999999999,0
"10",0.15,13321.386754604,3051.04517381861,10270.3415807854,8537.32506533642,3711.25097526496,4826.07409007147,21858.7118199404,6762.29614908357,15096.4156708568,0.500999999999999,0.268,0,0.209000000000001,0.022,0,0.425999999999999,0.267999999999999,0,0.209000000000001,0.097,0,0.075,0,0,0,0.075,0
"11",0.235,13380.5557843766,3078.4920403898,10302.0637439868,8609.7161766875,3783.64208661603,4826.07409007147,21990.2719610641,6862.13412700583,15128.1378340582,0.526,0.258,0,0.216000000000001,0,0,0.4085,0.257999999999999,0,0.2365,0.097,0,0.1175,0,0,0.0204999999999998,0.0970000000000001,0
"12",0.32,13436.6303582474,3101.09183772348,10335.538520524,8657.97691758759,3831.90282751679,4826.0740900708,22094.607275835,6932.99466524027,15161.6126105948,0.551,0.243000000000005,0,0.205999999999995,0,0,0.391,0.243000000000005,0,0.268999999999995,0.0970000000000001,0,0.16,0,0,0.0629999999999995,0.0970000000000001,0
