"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,3165.552383867,25.9845334552227,3139.56785041181,3803.01376816839,86.7136689810338,3716.30009918736,6968.5661520354,112.698202436256,6855.86794959917,0.909999999999952,0,0.0900000000000432,0,0,0,0,0,0,0,0.26,0.399999999999999,0.339999999999995,0,0,0,0,0,0,0
"2",100,1900,3034.84490510593,49.2820755650741,2985.5628295409,3787.93549642928,177.663390477108,3610.27210595217,6822.78040153521,226.945466042182,6595.83493549307,0.934999999999945,0,0.065000000000063,0,0,0,0,0,0,0,0.250000000000002,0.470000000000008,0.280000000000003,0,0,0,0,0,0,0
"3",150,1850,3013.57006220563,75.5747958398424,2937.99526636572,3783.03778209264,260.833505861445,3522.20427623119,6796.60784429827,336.408301701287,6460.19954259692,0.913333333333332,0,0.086666666666667,0,0,0,0,0,0,0,0.234054054054053,0.458558558558675,0.307387387387268,0,0,0,0,0,0,0
"4",200,1800,2949.9755001364,100.201350159709,2849.7741499767,3820.40052135344,356.929890058431,3463.470631295,6770.37602148983,457.13124021814,6313.2447812717,0.927499999999925,0,0.0725000000000737,0,0,0,0,0,0,0,0.255000000000001,0.445000000000008,0.299999999999999,0,0,0,0,0,0,0
"5",250,1750,2892.16594741459,124.860188649036,2767.30575876554,3919.79833031419,460.571362059106,3459.22696825508,6811.96427772878,585.431550708141,6226.53272702063,0.932,0,0.0680000000000002,0,0,0,0,0,0,0,0.264000000000112,0.435999999999887,0.3,0,0,0,0,0,0,0
"6",300,1700,2846.320560683,150.901326537365,2695.41923414561,3915.84492806476,555.453016045531,3360.39191201922,6762.16548874776,706.354342582896,6055.81114616484,0.936666666666673,0,0.0633333333333281,0,0,0,0,0,0,0,0.262941176470589,0.447450980392277,0.289607843137133,0,0,0,0,0,0,0
"7",350,1650,2785.30985427793,175.111685812409,2610.19816846552,3805.6914910301,631.658747615119,3174.03274341498,6591.00134530802,806.770433427528,5784.2309118805,0.938181818181776,0,0.0618181818182231,0,0,0,0,0,0,0,0.269696969696968,0.436969696969686,0.293333333333331,0,0,0,0,0,0,0
"8",400,1600,2725.08544606007,199.025940733496,2526.05950532657,3890.78738271656,740.352255010844,3150.43512770572,6615.87282877664,939.37819574434,5676.49463303229,0.939999999999447,0,0.0600000000005531,0,0,0,0,0,0,0,0.279999999999999,0.420000000000002,0.299999999999998,0,0,0,0,0,0,0
"9",450,1550,2669.8817894003,223.586427773081,2446.29536162717,3782.26429442037,813.080538262568,2969.1837561578,6452.14608382067,1036.66696603565,5415.47911778497,0.943225806451422,0,0.0567741935485777,0,0,0,0,0,0,0,0.27935483870968,0.427741935483868,0.292903225806454,0,0,0,0,0,0,0
"10",500,1500,2621.91417488314,249.910495341058,2372.00367954203,3892.12451456821,927.072827492421,2965.05168707579,6514.03868945135,1176.98332283348,5337.05536661782,0.938000000000059,0,0.061999999999941,0,0,0,0,0,0,0,0.270000000000234,0.435999999999764,0.294000000000003,0,0,0,0,0,0,0
"11",550,1450,2558.85340061445,272.351654364549,2286.50174624986,3908.66419225828,1029.8389650487,2878.82522720958,6467.51759287273,1302.19061941325,5165.32697345945,0.943103448275806,0,0.0568965517241928,0,0,0,0,0,0,0,0.274482758620691,0.437241379310345,0.288275862068964,0,0,0,0,0,0,0
"12",600,1400,2511.51294193188,299.239075374989,2212.27386655686,3846.94807603903,1105.32265641991,2741.62541961912,6358.46101797092,1404.5617317949,4953.89928617598,0.940714285714279,0,0.0592857142857102,0,0,0,0,0,0,0,0.2750000000002,0.43142857142837,0.29357142857143,0,0,0,0,0,0,0
"13",650,1350,2461.96878130217,325.32299845262,2136.64578284953,3840.38569387263,1197.54430277335,2642.84139109928,6302.3544751748,1522.86730122597,4779.48717394881,0.941111111111056,0,0.0588888888889434,0,0,0,0,0,0,0,0.274074074074076,0.434074074074074,0.29185185185185,0,0,0,0,0,0,0
"14",700,1300,2402.78066063553,349.438305986347,2053.34235464915,3894.9911653903,1314.21210575351,2580.77905963679,6297.77182602583,1663.65041173985,4634.12141428594,0.945714285714277,0,0.0542857142857208,0,0,0,0,0,0,0,0.277582417582506,0.436263736263646,0.286153846153846,0,0,0,0,0,0,0
"15",750,1250,2350.82467809057,374.981402320554,1975.84327576998,3874.33420444569,1403.45779854921,2470.87640589649,6225.15888253626,1778.43920086976,4446.71968166647,0.946666666666671,0,0.0533333333333296,0,0,0,0,0,0,0,0.275199999999997,0.44293333333346,0.281866666666544,0,0,0,0,0,0,0
"16",800,1200,2294.2452177896,399.380981408058,1894.86423638153,3861.25205339424,1498.42570761495,2362.82634577929,6155.49727118384,1897.80668902301,4257.69058216082,0.951249999999949,0,0.0487500000000506,0,0,0,0,0,0,0,0.282500000000001,0.437499999999995,0.280000000000001,0,0,0,0,0,0,0
"17",850,1150,2236.49466785615,421.768318871502,1814.72634898464,3764.95766086985,1555.92638025744,2209.03128061241,6001.452328726,1977.69469912894,4023.75762959705,0.952941176470588,0,0.0470588235294119,0,0,0,0,0,0,0,0.281739130434788,0.442404092071716,0.275856777493497,0,0,0,0,0,0,0
"18",900,1100,2175.59860260245,444.305156888883,1731.29344571356,3617.69573295429,1588.95594666574,2028.73978628855,5793.29433555674,2033.26110355462,3760.03323200211,0.957272727272671,0,0.0427272727273291,0,0,0,0,0,0,0,0.282727272727272,0.449090909090913,0.268181818181818,0,0,0,0,0,0,0
"19",950,1050,2117.17831800101,468.00771747312,1649.17060052787,3710.21999475327,1724.17032832583,1986.04966642744,5827.39831275428,2192.17804579895,3635.22026695531,0.959523809523755,0,0.0404761904762448,0,0,0,0,0,0,0,0.282857142857143,0.453333333333331,0.263809523809524,0,0,0,0,0,0,0
"20",1000,1000,2060.89797445179,491.692970354923,1569.20500409685,3814.62382727851,1872.8453455892,1941.77848168931,5875.5218017303,2364.53831594413,3510.98348578616,0.964499999999935,0,0.0355000000000614,0,0,0,0,0,0,0,0.290000000000001,0.449000000000003,0.261,0,0,0,0,0,0,0
