"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,3165.69724664825,26.1024631608743,3139.59478348743,3811.58984532037,95.2897461330092,3716.30009918736,6977.28709196862,121.392209293884,6855.89488267479,0.239999999999999,0.42,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",100,1900,3035.10193590819,49.4591553306673,2985.64278057755,3800.28642731808,190.014321365904,3610.27210595217,6835.38836322626,239.473476696571,6595.91488652973,0.210000000000001,0.500000000000001,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",150,1850,3014.16870146548,76.0864126854576,2938.08228877998,3807.78840673642,285.584130505232,3522.20427623119,6821.95710820191,361.670543190689,6460.28656501117,0.194594594594595,0.491351351351353,0.314054054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",200,1800,2950.59091449139,100.635918103391,2849.95499638802,3848.30070143889,384.830070143889,3463.470631295,6798.89161593029,485.465988247281,6313.42562768302,0.22,0.46,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",250,1750,2892.83773463755,125.333970027976,2767.50376460958,3953.40224943438,494.175281179298,3459.22696825508,6846.23998407193,619.509251207274,6226.73073286466,0.224,0.456,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",300,1700,2847.11901701206,151.400279535912,2695.71873747613,3953.40224943438,593.010337415157,3360.39191201922,6800.52126644644,744.410616951069,6056.11064949535,0.225882352941177,0.451176470588235,0.322941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",350,1650,2786.16130471837,175.627485918812,2610.53381879955,3847.31241626058,673.279672845601,3174.03274341498,6633.47372097895,848.907158764414,5784.56656221453,0.225454545454545,0.452121212121212,0.322424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",400,1600,2726.05749620869,199.597538220463,2526.45995798823,3938.04390963215,787.60878192643,3150.43512770572,6664.10140584084,987.206320146893,5676.89508569395,0.2325,0.4375,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",450,1550,2670.97133152608,224.243397931801,2446.72793359423,3831.20484665522,862.021090497425,2969.1837561578,6502.1761781813,1086.26448842923,5415.91168975203,0.229677419354838,0.440645161290323,0.329677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",500,1500,2623.05193837068,250.645257819677,2372.40668055097,3953.40224943438,988.350562358596,2965.05168707579,6576.45418780507,1238.99582017827,5337.45836762676,0.225999999999999,0.438,0.335999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
