"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,6100.4016566323,17.5655291201839,6082.83612751208,5720.15851318075,78.1205259766555,5642.0379872041,11820.5601698131,95.6860550968394,11724.8741147162,0,0.499999999999885,0.0400000000001197,0,0.459999999999995,0,0,0,0,0,0,0,0.14,0.400000000000005,0.459999999999995,0,0,0,0,0
"2",100,1900,5860.26649830513,31.4979050685004,5828.7685932364,5647.97794425776,150.458428842868,5497.51951541489,11508.2444425629,181.956333911368,11326.2881086513,0.0299999999998857,0.440000000000115,0.05,0.0500000000000034,0.429999999999998,0,0,0,0,0,0,0,0.12,0.450000000000005,0.429999999999995,0,0,0,0,0
"3",150,1850,5766.96957944419,49.4208182161992,5717.54876122803,5555.827704688,234.143728860937,5321.68397582707,11322.7972841322,283.564547077137,11039.2327370551,0.0159759759759301,0.48,0.0466666666666667,0.0097897897898335,0.44756756756757,0,0,0,0,0,0,0,0.154594594594594,0.397837837837844,0.44756756756757,0,0,0,0,0
"4",200,1800,5617.25788660137,67.3500428136669,5549.90784378759,5581.4690442257,319.609260912346,5261.85978331336,11198.7269308271,386.959303726013,10811.767627101,0.0316666666666312,0.475000000000001,0.04,0,0.45333333333333,0,0,0,0,0,0,0,0.185000000000001,0.361666666666667,0.45333333333333,0,0,0,0,0
"5",250,1750,5475.84808650001,85.5636865572977,5390.28439994267,5608.91430728566,404.460416643787,5204.45389064188,11084.7623937857,490.024103201085,10594.7382905845,0.0559999999998715,0.452000000000129,0.036,0,0.455999999999963,0,0,0,0,0,0,0,0.208000000000001,0.33600000000004,0.455999999999963,0,0,0,0,0
"6",300,1700,5349.62589510204,105.344857510959,5244.28103759102,5549.25989462335,493.504686571245,5055.75520805211,10898.8857897254,598.849544082204,10300.0362456431,0.0764705882352609,0.443333333333332,0.0333333333333333,0,0.446862745098068,0,0,0,0,0,0,0,0.249411764705883,0.303725490196046,0.446862745098068,0,0,0,0,0
"7",350,1650,5204.37647775843,123.533915545247,5080.84256221324,5344.66187578331,560.875849278375,4783.78602650494,10549.0383535417,684.409764823622,9864.62858871818,0.081731601731492,0.459567099567209,0.0114285714285714,0,0.447272727272729,0,0,0,0,0,0,0,0.275757575757577,0.276969696969697,0.447272727272726,0,0,0,0,0
"8",400,1600,5061.08924911941,141.766040043101,4919.32320907634,5392.53529948548,654.44827083267,4738.08702865281,10453.6245486049,796.21431087577,9657.41023772916,0.0925000000000002,0.4525,0.0075,0,0.447499999999963,0,0,0,0,0,0,0,0.290000000000104,0.262499999999933,0.447499999999959,0,0,0,0,0
"9",450,1550,4923.52105999335,160.509245036553,4763.01181495682,5221.81622646395,727.346451061947,4494.469775402,10145.3372864573,887.8556960985,9257.48159035882,0.10193548387087,0.455483870967846,0,0,0.442580645161284,0,0,0,0,0,0,0,0.316774193548384,0.240645161290322,0.442580645161284,0,0,0,0,0
"10",500,1500,4794.2176234188,178.709225177683,4615.5083982411,5292.68177564495,831.721297951914,4460.96047769304,10086.8993990638,1010.4305231296,9076.46887593414,0.101333333333301,0.452,0.00599999999999999,0,0.44066666666666,0,0,0,0,0,0,0,0.314000000000002,0.245333333333333,0.440666666666661,0,0,0,0,0
"11",550,1450,4648.56999484716,197.526968742093,4451.0430261051,5243.17129521548,918.598838979731,4324.57245623575,9891.74129006264,1116.12580772182,8775.61548234085,0.121379310344717,0.438620689655286,0,0,0.439999999999999,0,0,0,0,0,0,0,0.341379310344827,0.218620689655172,0.439999999999997,0,0,0,0,0
"12",600,1400,4521.76517824429,220.199135139677,4301.56604310465,5134.92775161872,1005.74977788581,4129.17797373291,9656.69292986302,1225.94891302549,8430.74401683756,0.13476190476194,0.433571428571322,0,0,0.431666666666737,0,0,0,0,0,0,0,0.371428571428569,0.196904761904691,0.431666666666738,0,0,0,0,0
"13",650,1350,4391.22413967522,241.706605377914,4149.51753429733,5095.99037135461,1105.51067220802,3990.47969914659,9487.21451102984,1347.21727758593,8139.99723344392,0.15441595441583,0.420968660968785,0,0,0.424615384615384,0,0,0,0,0,0,0,0.40518518518519,0.170199430199431,0.424615384615384,0,0,0,0,0
"14",700,1300,4248.85859077257,262.383733829948,3986.47485694263,5094.60127595278,1214.70575238007,3879.89552357272,9343.45986672535,1477.08948621001,7866.37038051535,0.182857142857138,0.39857142857143,0,0,0.418571428571432,0,0,0,0,0,0,0.011098901099007,0.423516483516379,0.146813186813184,0.418571428571432,0,0,0,0,0
