"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,6092.24482012251,9.62246627798062,6082.6223538444,5698.45836707614,56.4203798720404,5642.0379872041,11790.7031871987,66.042846150021,11724.6603410485,0,0,0.16,0.360000000000003,0.480000000000005,0,0,0,0,0,0.0500000000000038,0,0,0.0500000000000038,0,0,0,0,0,0
"2",100,1900,5844.31081581451,16.6923058068975,5827.61851000747,5595.89618042758,98.3766650126861,5497.51951541489,11440.2069962421,115.068970819584,11325.1380254224,0,0,0.170000000000001,0.400000000000004,0.430000000000002,0,0,0,0,0,0.0500000000000035,0,0,0,0.0500000000000036,0,0,0,0,0
"3",150,1850,5743.11711538297,26.6218455825999,5716.49526980037,5478.457909169,156.773933341932,5321.68397582707,11221.575024552,183.395778924532,11038.1792456274,0,0,0.187567567567566,0.364864864864864,0.447567567567571,0,0,0,0,0,0.0500000000000006,0,0,0,0.0500000000000006,0,0,0,0,0
"4",200,1800,5586.42613354157,39.7960755200594,5546.63005802147,5484.02719638659,222.167413073229,5261.85978331336,11070.4533299282,261.963488593288,10808.4898413348,0,0,0.260000000000001,0.284999999999998,0.455000000000004,0,0,0,0,0,0.0500000000000024,0,0,0,0.0500000000000024,0,0,0,0,0
"5",250,1750,5438.63630458288,52.3707437941564,5386.26556078873,5489.95536121414,285.501470572354,5204.45389064178,10928.591665797,337.872214366511,10590.7194514305,0,0,0.292000000000003,0.252000000000002,0.456000000000005,0,0,0,0,0,0.0500000000000047,0,0,0,0.0500000000000048,0,0,0,0,0
"6",300,1700,5305.87241544721,65.5269694085504,5240.34544603864,5406.68409896396,350.928890911853,5055.75520805211,10712.5565144112,416.455860320403,10296.1006540907,0,0,0.316470588235292,0.227058823529413,0.456470588235294,0,0,0,0,0,0.0499999999999994,0,0,0,0.0499999999999994,0,0,0,0,0
"7",350,1650,5153.83902818719,76.340117863939,5077.49891032331,5180.98522991777,397.199203412834,4783.78602650494,10334.824258105,473.539321276773,9861.28493682824,0,0,0.326666666666669,0.213939393939394,0.459393939393938,0,0,0,0,0,0.0500000000000013,0,0,0,0.0500000000000012,0,0,0,0,0
"8",400,1600,5004.49519702599,90.5212926923079,4913.97390433377,5223.74094908972,485.653920436905,4738.08702865281,10228.2361461157,576.175213129213,9652.06093298658,0,0,0.360000000000002,0.182499999999997,0.457500000000005,0,0,0,0,0,0.0500000000000023,0,0,0,0.0500000000000024,0,0,0,0,0
"9",450,1550,4860.71189785905,102.398465648317,4758.31343221078,5045.4047801287,550.9350047267,4494.469775402,9906.11667798776,653.333470375018,9252.78320761279,0,0,0.372222222222216,0.172293906810037,0.455483870967741,0,0,0,0,0,0.0499999999999999,0,0,0,0.0499999999999999,0,0,0,0,0
"10",500,1500,4725.07625348815,118.286020925502,4606.79023256265,5112.26070743558,651.300229743085,4460.96047769249,9837.33696092373,769.586250668587,9067.75071025514,0,0.0199999999999907,0.368000000000004,0.16,0.451999999999995,0,0,0,0,0,0.0499999999999999,0,0,0,0.05,0,0,0,0,0
