"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,6109.09772270106,26.1024631608743,6082.99525954013,5786.70562790164,144.667640697541,5642.0379872041,11895.8033506027,170.770103858415,11725.0332467442,0,0,0.12,0.4,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",100,1900,5878.44266500785,49.4591553306673,5828.98350967699,5786.86264780515,289.343132390257,5497.51951541489,11665.305312813,338.802287720925,11326.5030250919,0,0,0.0900000000000003,0.48,0.429999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",150,1850,5794.50740565588,76.0864126854576,5718.42099297042,5753.17186575899,431.487889931924,5321.68397582707,11547.6792714149,507.574302617382,11040.1049687975,0,0,0.100540540540541,0.451891891891893,0.447567567567565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",200,1800,5651.92106181137,100.635918103391,5551.2851437079,5846.51087034817,584.651087034818,5261.85978331336,11498.4319321595,685.287005138209,10813.1449270213,0,0,0.11,0.435000000000002,0.454999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",250,1750,5517.71245485076,125.333970027976,5392.37848482275,5947.94730359071,743.493412948839,5204.45389064188,11465.6597584415,868.827382976815,10596.8323754646,0,0,0.112,0.431999999999999,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",300,1700,5399.27415880423,151.400279535912,5247.87387926823,5947.94730359072,892.192095538608,5055.75520805211,11347.2214623949,1043.59237507452,10303.6290873203,0,0,0.115882352941176,0.427647058823531,0.456470588235297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",350,1650,5261.10855058272,175.627485918812,5085.48106466387,5798.52851697568,1014.74249047074,4783.78602650494,11059.6370675584,1190.36997638956,9869.26709116881,0,0,0.118787878787878,0.421818181818181,0.459393939393943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",400,1600,5123.71660036539,199.597538220463,4924.11906214485,5922.60878581602,1184.5217571632,4738.08702865281,11046.3253861814,1384.11929538367,9662.20609079766,0,0,0.122500000000001,0.420000000000001,0.457500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",450,1550,4993.72920396733,224.243397931801,4769.48580603548,5799.31583922842,1304.8460638264,4494.46977540203,10793.0450431958,1529.0894617582,9263.95558143751,0,0,0.116774193548386,0.42774193548387,0.455483870967743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",500,1500,4872.54477081284,250.645257819677,4621.89951299309,5947.94730359071,1486.98682589768,4460.96047769304,10820.4920744036,1737.63208371736,9082.85999068613,0,0,0.118000000000001,0.429999999999999,0.452000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",550,1450,4731.8566736207,272.992810326628,4458.86386329401,5964.92752584241,1640.35506960666,4324.57245623575,10696.7841994631,1913.34787993329,8783.43631952976,0,0,0.122758620689655,0.426896551724139,0.450344827586204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",600,1400,4611.71327406351,299.919105624082,4311.79416843937,5898.8256767613,1769.64770302839,4129.17797373291,10510.5389508248,2069.56680865247,8440.97214217228,0,0,0.12,0.422142857142857,0.457857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",650,1350,4488.80664562364,326.086551548447,4162.72009407515,5911.82177651347,1921.34207736688,3990.47969914659,10400.6284221371,2247.42862891533,8153.19979322175,0,0,0.117037037037037,0.42962962962963,0.453333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",700,1300,4353.01043994544,350.127208536491,4002.8832314089,5969.07003626573,2089.17451269301,3879.89552357273,10322.0804762112,2439.3017212295,7882.77875498162,0,0,0.118461538461539,0.428461538461538,0.453076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",750,1250,4226.70040845531,375.685434706742,3851.0149737485,5947.94730359071,2230.48023884652,3717.4670647442,10174.647712046,2606.16567355326,7568.4820384927,0,0,0.116,0.4344,0.449600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",800,1200,4094.31289185519,400.02270301152,3694.29018884361,5922.60878581602,2369.04351432641,3553.56527148961,10016.9216776712,2769.06621733793,7247.85546033322,0,0,0.1175,0.433333333333333,0.449166666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",850,1150,3961.07056963863,422.40154016437,3538.66902947421,5826.28066460048,2476.1692824552,3350.11138214527,9787.35123423911,2898.57082261957,6888.78041161948,0,0,0.116521739130435,0.439130434782609,0.444347826086956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",900,1100,3823.62517925882,444.892354373122,3378.73282488565,5661.9206311788,2547.86428403046,3114.05634714834,9485.54581043762,2992.75663840358,6492.78917203399,0,0,0.114545454545454,0.448181818181818,0.437272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",950,1050,3688.99171289591,468.594655995257,3220.3970569006,5756.25458350297,2734.22092716391,3022.03365633906,9445.24629639888,3202.81558315917,6242.43071323966,0,0,0.116190476190476,0.453333333333333,0.430476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1000,1000,3557.26519054524,492.16701243585,3065.09817810936,5872.94676663918,2936.47338331959,2936.47338331959,9430.21195718441,3428.64039575544,6001.57156142894,0,0,0.121,0.452,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1050,950,3429.2796998177,515.671248689527,2913.60845112813,5863.40758107972,3078.28898006685,2785.11860101287,9292.68728089742,3593.96022875638,5698.727052141,0,0,0.118947368421054,0.450526315789471,0.430526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1100,900,3302.98546756195,541.062103088247,2761.92336447367,5881.70999287688,3234.94049608228,2646.7694967946,9184.69546043883,3776.00259917053,5408.69286126826,0,0,0.115555555555555,0.451111111111111,0.433333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1150,850,3179.24013104769,566.783985344693,2612.45614570296,5866.80415623909,3373.41238983747,2493.39176640161,9046.04428728678,3940.19637518217,5105.84791210457,0,0,0.116470588235294,0.443529411764706,0.440000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1200,800,3056.42122405152,593.160800744081,2463.2604233074,5898.8256767613,3539.29540605678,2359.53027070452,8955.24690081282,4132.45620680086,4822.79069401192,0,0,0.115,0.44,0.444999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1250,750,2930.44755736189,620.065754611045,2310.38180275081,5910.40338280474,3694.00211425296,2216.40126855178,8840.85094016663,4314.06786886401,4526.78307130258,0,0,0.114666666666667,0.437333333333334,0.448000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1300,700,2798.21508288273,642.824205487501,2155.39087739521,5478.53081733371,3561.04503126691,1917.4857860668,8276.74590021644,4203.86923675441,4072.87666346201,0,0,0.115714285714286,0.435714285714286,0.448571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1350,650,2668.18981619155,664.816887866007,2003.37292832552,5799.31583922842,3914.53819147919,1884.77764774924,8467.50565541997,4579.35507934519,3888.15057607476,0,0,0.116923076923076,0.430769230769231,0.452307692307694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1400,600,2537.38783757248,689.895483558765,1847.49235401369,5969.07003626573,4178.34902538601,1790.72101087972,8506.45787383822,4868.24450894478,3638.21336489341,0,0,0.121666666666667,0.42,0.458333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1450,550,2406.71368677718,716.674415269867,1690.03927150729,5680.56176857031,4118.40728221348,1562.15448635684,8087.27545534749,4835.08169748334,3252.19375786412,0,0,0.123636363636364,0.429090909090909,0.447272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1500,500,2282.31316917249,741.679998174775,1540.6331709977,5947.94730359071,4460.96047769304,1486.98682589768,8230.26047276321,5202.64047586781,3027.61999689538,0,0,0.118,0.43,0.451999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1550,450,2153.61998922175,769.394540680572,1384.22544854116,5883.84295094505,4559.97828698241,1323.86466396264,8037.4629401668,5329.37282766299,2708.0901125038,0,0,0.117777777777778,0.426666666666667,0.455555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1600,400,2025.71328707055,794.683521534316,1231.02976553621,5811.87532699045,4649.50026159236,1162.37506539809,7837.588614061,5444.18378312668,2393.4048309343,0,0,0.1225,0.42,0.457500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1650,350,1897.49444296354,818.709122684086,1078.78532027944,5913.58213574807,4878.70526199216,1034.87687375591,7811.07657871161,5697.41438467624,2113.66219403535,0,0,0.120000000000001,0.419999999999999,0.460000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1700,300,1769.8570889792,843.644205207936,926.212883771248,5826.28066460048,4952.3385649104,873.942099690071,7596.13775357968,5795.98277011834,1800.15498346132,0,0,0.116666666666667,0.426666666666666,0.456666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1750,250,1638.66976433603,868.329980789917,770.339783546107,5708.65877869319,4995.07643135654,713.582347336648,7347.32854302922,5863.40641214645,1483.92213088275,0,0,0.112,0.431999999999999,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1800,200,1513.85832203598,897.048861623975,616.809460411989,5483.95871824223,4935.56284641801,548.395871824223,6997.81704027821,5832.61170804199,1165.20533223621,0,0,0.11,0.435000000000001,0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1850,150,1383.83791239243,920.300682763569,463.53722962886,5463.11877218824,5053.38486427412,409.733907914118,6846.95668458067,5973.68554703769,873.271137542978,0,0,0.1,0.453333333333333,0.446666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1900,100,1249.75777003245,942.969164259965,306.788605772473,5152.67761337213,4895.04373270353,257.633880668607,6402.43538340459,5838.01289696349,564.42248644108,0,0,0.0899999999999999,0.48,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1950,50,1123.50801914234,967.53378171823,155.974237424106,5288.84849301654,5156.62728069113,132.221212325414,6412.35651215888,6124.16106240936,288.195449749519,0,0,0.12,0.4,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
