"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2"
"1",1,1,2,1,1,2,0.05,3326.5913768196,322.493418941695,3004.09795787787,4531.46866003972,1621.08416418884,2910.38449585088,7858.06003685932,1943.57758313053,5914.48245372876
"2",1,1,2,1,1,2,0.1,3337.3401394081,330.514868155241,3006.82527125281,4566.39327398992,1656.00877813904,2910.38449585087,7903.73341339801,1986.52364629428,5917.20976710368
"3",1,1,2,1,1,2,0.15,3347.86911822034,338.39334969967,3009.47576852062,4601.31788794023,1690.93339208936,2910.38449585088,7949.18700616057,2029.32674178903,5919.8602643715
"4",1,1,2,1,1,2,0.2,3358.16479187138,346.360583329586,3011.80420854174,4639.1528863863,1728.76839053542,2910.38449585087,7997.31767825767,2075.12897386501,5922.18870439261
"5",1,1,2,1,1,2,0.25,3368.27625220719,353.137007327148,3015.13924487999,4656.61519336136,1746.23069751051,2910.38449585085,8024.89144556855,2099.36770483766,5925.52374073084
"6",1,1,2,1,1,2,0.3,3378.19539232787,361.240093514371,3016.95529881345,4691.53980730984,1781.15531145904,2910.38449585081,8069.73519963771,2142.39540497341,5927.33979466426
"7",1,1,2,1,1,2,0.35,3387.94569169074,369.143708731968,3018.80198295871,4723.55403676597,1813.16954091509,2910.38449585087,8111.49972845671,2182.31324964706,5929.18647880959
"8",1,1,2,1,1,2,0.4,3397.48887325252,375.721495662381,3021.76737759008,4746.8371127319,1836.45261688112,2910.38449585078,8144.32598598442,2212.17411254351,5932.15187344085
"9",1,1,2,1,1,2,0.45,3406.82594774302,383.387061527777,3023.43888621519,4781.76172668263,1871.37723083177,2910.38449585086,8188.58767442565,2254.76429235955,5933.82338206604
"10",1,1,2,1,1,2,0.5,3415.95971393842,390.08393315376,3025.8757807846,4807.95518714509,1897.57069129426,2910.38449585083,8223.91490108351,2287.65462444802,5936.26027663542
"11",1,1,2,1,1,2,0.55,3424.88510728027,396.337705075184,3028.54740220504,4834.14864760831,1923.76415175743,2910.38449585088,8259.03375488858,2320.10185683262,5938.93189805591
"12",1,1,2,1,1,2,0.6,3433.55542955069,402.756412514998,3030.79901703563,4854.52133907926,1944.13684322839,2910.38449585088,8288.07676862996,2346.89325574338,5941.18351288651
"13",1,1,2,1,1,2,0.65,3442.00166738324,409.277545331871,3032.7241220513,4871.98364605436,1961.59915020349,2910.38449585087,8313.9853134376,2370.87669553536,5943.10861790218
"14",1,1,2,1,1,2,0.7,3450.20934194544,414.464873465072,3035.74446848031,4889.44595302947,1979.0614571786,2910.38449585087,8339.65529497491,2393.52633064367,5946.12896433118
"15",1,1,2,1,1,2,0.75,3458.06445969279,419.110075908624,3038.95438378409,4912.72902899628,2002.34453314541,2910.38449585087,8370.79348868907,2421.45460905403,5949.33887963497
"16",1,1,2,1,1,2,0.8,3465.61900554149,424.135663233761,3041.48334230766,4944.74325845064,2034.35876259976,2910.38449585087,8410.36226399213,2458.49442583352,5951.86783815853
"17",1,1,2,1,1,2,0.85,3472.95432058412,428.658430142468,3044.29589044157,4970.93671891285,2060.55222306216,2910.38449585069,8443.89103949697,2489.21065320463,5954.68038629226
"18",1,1,2,1,1,2,0.9,3480.00307846664,433.192493648955,3046.81058481761,5000.04056387114,2089.65606802039,2910.38449585075,8480.04364233778,2522.84856166934,5957.19508066836
"19",1,1,2,1,1,2,0.95,3486.77244246281,437.53794773648,3049.23449472626,5029.14440883032,2118.75991297944,2910.38449585087,8515.91685129313,2556.29786071592,5959.61899057713
"20",1,1,2,1,1,2,1,3493.33219247301,441.276346232678,3052.05584624026,5049.51710029989,2139.13260444949,2910.38449585039,8542.8492927729,2580.40895068217,5962.44034209065
