"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2"
"1",1,1,1,1,2,2,0.05,3150.90815690553,645.771955214146,2505.13620169138,3509.54333661212,1593.85374239153,1915.68959422059,6660.45149351766,2239.62569760568,4420.82579591197
"2",1,1,1,1,2,2,0.1,3155.45254490233,648.496621500307,2506.95592340202,3521.03747417742,1605.34787995686,1915.68959422056,6676.49001907975,2253.84450145716,4422.64551762258
"3",1,1,1,1,2,2,0.15,3159.75680553836,650.933170429527,2508.82363510884,3536.36299093121,1620.67339671062,1915.68959422059,6696.11979646957,2271.60656714015,4424.51322932943
"4",1,1,1,1,2,2,0.2,3163.81622691637,653.567537771705,2510.24868914466,3545.94143890232,1630.25184468172,1915.68959422059,6709.75766581869,2283.81938245343,4425.93828336525
"5",1,1,1,1,2,2,0.25,3167.6376249009,655.778432138767,2511.85919276213,3559.35126606182,1643.66167184125,1915.68959422058,6726.98889096272,2299.44010398001,4427.5487869827
"6",1,1,1,1,2,2,0.3,3171.29471720141,658.196566384775,2513.09815081663,3574.67678281562,1658.98718859503,1915.68959422059,6745.97150001703,2317.18375497981,4428.78774503723
"7",1,1,1,1,2,2,0.35,3174.71302456718,660.239054162892,2514.47397040429,3586.17092038095,1670.48132616036,1915.68959422059,6760.88394494813,2330.72038032325,4430.16356462488
"8",1,1,1,1,2,2,0.4,3177.90545954349,662.089722662807,2515.81573688069,3599.58074754049,1683.8911533199,1915.68959422059,6777.48620708399,2345.98087598271,4431.50533110128
"9",1,1,1,1,2,2,0.45,3180.86745731088,664.086608434781,2516.78084887611,3612.99057469902,1697.30098047926,1915.68959421976,6793.8580320099,2361.38758891404,4432.47044309587
"10",1,1,1,1,2,2,0.5,3183.67049667637,665.875778399203,2517.79471827718,3614.90626429403,1699.21667007365,1915.68959422038,6798.5767609704,2365.09244847286,4433.48431249756
"11",1,1,1,1,2,2,0.55,3186.37234270798,667.818051998768,2518.55429070923,3624.48471226453,1708.79511804473,1915.6895942198,6810.85705497251,2376.6131700435,4434.24388492904
"12",1,1,1,1,2,2,0.6,3188.97710592443,669.393863330654,2519.5832425938,3632.14747064224,1716.45787642165,1915.68959422059,6821.12457656667,2385.85173975231,4435.27283681439
"13",1,1,1,1,2,2,0.65,3191.4366643952,671.060962260822,2520.37570213439,3645.55729780179,1729.8677035812,1915.68959422059,6836.99396219699,2400.92866584202,4436.06529635498
"14",1,1,1,1,2,2,0.7,3193.78556674836,672.655532166725,2521.13003458166,3651.30436658445,1735.61477236386,1915.68959422059,6845.08993333281,2408.27030453058,4436.81962880225
"15",1,1,1,1,2,2,0.75,3196.05530317307,673.472230567455,2522.58307260564,3651.30436658445,1735.61477236386,1915.68959422059,6847.35966975752,2409.08700293131,4438.27266682623
"16",1,1,1,1,2,2,0.8,3198.224477276,674.861856796843,2523.36262047917,3655.13574577289,1739.4461515523,1915.68959422059,6853.36022304889,2414.30800834914,4439.05221469976
"17",1,1,1,1,2,2,0.85,3200.29487393409,675.779023908404,2524.5158500257,3658.96712496133,1743.27753074074,1915.68959422059,6859.26199889542,2419.05655464914,4440.20544424629
"18",1,1,1,1,2,2,0.9,3202.26302607276,677.114791084818,2525.14823498795,3662.79850414977,1747.10890992918,1915.68959422059,6865.06153022253,2424.223701014,4440.83782920854
"19",1,1,1,1,2,2,0.95,3204.16640128907,678.334045292401,2525.83235599667,3672.37695212088,1756.68735790028,1915.68959422059,6876.54335340995,2435.02140319269,4441.52195021726
"20",1,1,1,1,2,2,1,3205.95523226828,678.834180743164,2527.12105152512,3681.9554000914,1766.26580587138,1915.68959422002,6887.91063235968,2445.09998661454,4442.81064574514
